year	lga	sourceNode	targetNode	vLength1	vLength2	rankIn	All materials	Paper and cardboard	Liquid paperboard	Glass	PET (1)	HDPE (2)	PVC (3)	LDPE (4)	PP (5)	PS (6)	Other plastic (7)	Rigid plastics	Soft plastics (film)	Steel cans	Aluminum cans and foil	Food organics	Garden organics	Wood and timber	Textile, leather and rubber	Hazardous	Nappies and sanitary	Prohibited	Other	Aerosol cans
2019	Ararat	Commercial and industrial waste	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.075	0.350	4																								
2019	Ararat	Construction and demolition waste	Landfill	0.013	0.170	3																								
2019	Ararat	Construction and demolition waste	Litter and illegal dumping	0.025	0.250	0																								
2019	Ararat	Construction and demolition waste	Organics processing operations	0.250	0.750	4																								
2019	Ararat	Construction and demolition waste	Construction and demolition recycling operations	0.250	0.750	0																								
2019	Ararat	Alternative waste technologies	Landfill	0.000	0.250	4																								
2019	Ararat	Alternative waste technologies	Fuel preparation	0.550	1.000	0																								
2019	Ararat	Alternative waste technologies	Alternative waste technologies	0.200	0.750	1																								
2019	Ararat	Alternative waste technologies	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.800	2																								
2019	Ararat	Container deposit systems and other drop off	Fuel preparation	0.250	1.000	0																								
2019	Ararat	Container deposit systems and other drop off	Organics processing operations	0.100	0.900	1																								
2019	Ararat	Container deposit systems and other drop off	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.013	0.450	3																								
2019	Ararat	Materials recovery facilities	Landfill	0.000	0.350	5																								
2019	Ararat	Materials recovery facilities	Export	0.600	0.950	1																								
2019	Ararat	Materials recovery facilities	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.750	1																								
2019	Ararat	Hazardous waste treatment facilities	Landfill	0.000	0.500	6																								
2019	Ararat	Hazardous waste treatment facilities	Fuel preparation	0.000	1.000	0																								
2019	Ararat	Organics processing operations	Landfill	0.000	0.700	7																								
2019	Ararat	Organics processing operations	Fuel preparation	0.250	1.000	0																								
2019	Ararat	Organics processing operations	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.750	3																								
2019	Ararat	Incinerators	Landfill	0.000	0.800	8																								
2019	Ararat	Construction and demolition recycling operations	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.250	0.750	5																								
2019	Ararat	Construction and demolition recycling operations	Road base	0.250	0.750	2																								
2019	Ararat	Fuel preparation	Cement kilns and other energy recovery	0.100	0.900	0																								
2019	Ararat	Fuel preparation	Export	0.100	0.750	2																								
2019	Ararat	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Export	0.000	0.900	3																								
2019	Ararat	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Onshore remanufacturing of paper, metal, glass, plastic, rubber, oil etc.	0.000	1.000	0																								
2019	Ararat	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Road base	0.000	0.750	1																								
2019	Ballarat	Municipal solid waste	Landfill	0.013	0.150	1																								
2019	Ballarat	Municipal solid waste	Litter and illegal dumping	0.100	0.250	0																								
2019	Ballarat	Municipal solid waste	Alternative waste technologies	0.400	0.750	0																								
2019	Ballarat	Municipal solid waste	Materials recovery facilities	0.500	0.900	0																								
2019	Ballarat	Municipal solid waste	Container deposit systems and other drop off	0.475	1.000	0																								
2019	Ballarat	Municipal solid waste	Hazardous waste treatment facilities	0.200	0.650	0																								
2019	Ballarat	Municipal solid waste	Organics processing operations	0.175	0.700	2																								
2019	Ballarat	Commercial and industrial waste	Landfill	0.013	0.160	2																								
2019	Ballarat	Commercial and industrial waste	Alternative waste technologies	0.300	1.000	0																								
2019	Ballarat	Commercial and industrial waste	Materials recovery facilities	0.225	0.500	0																								
2019	Ballarat	Commercial and industrial waste	Container deposit systems and other drop off	0.400	0.950	0																								
2019	Ballarat	Commercial and industrial waste	Hazardous waste treatment facilities	0.550	0.950	0																								
2019	Ballarat	Commercial and industrial waste	Incinerators	0.500	0.900	0																								
2019	Ballarat	Commercial and industrial waste	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.450	2																								
2019	Ballarat	Commercial and industrial waste	Organics processing operations	0.250	0.650	3																								
2019	Ballarat	Commercial and industrial waste	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.075	0.350	4																								
2019	Ballarat	Construction and demolition waste	Landfill	0.013	0.170	3																								
2019	Ballarat	Construction and demolition waste	Litter and illegal dumping	0.025	0.250	0																								
2019	Ballarat	Construction and demolition waste	Organics processing operations	0.250	0.750	4																								
2019	Ballarat	Construction and demolition waste	Construction and demolition recycling operations	0.250	0.750	0																								
2019	Ballarat	Alternative waste technologies	Landfill	0.000	0.250	4																								
2019	Ballarat	Alternative waste technologies	Fuel preparation	0.550	1.000	0																								
2019	Ballarat	Alternative waste technologies	Alternative waste technologies	0.200	0.750	1																								
2019	Ballarat	Alternative waste technologies	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.800	2																								
2019	Ballarat	Container deposit systems and other drop off	Fuel preparation	0.250	1.000	0																								
2019	Ballarat	Container deposit systems and other drop off	Organics processing operations	0.100	0.900	1																								
2019	Ballarat	Container deposit systems and other drop off	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.013	0.450	3																								
2019	Ballarat	Materials recovery facilities	Landfill	0.000	0.350	5																								
2019	Ballarat	Materials recovery facilities	Export	0.600	0.950	1																								
2019	Ballarat	Materials recovery facilities	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.750	1																								
2019	Ballarat	Hazardous waste treatment facilities	Landfill	0.000	0.500	6																								
2019	Ballarat	Hazardous waste treatment facilities	Fuel preparation	0.000	1.000	0																								
2019	Ballarat	Organics processing operations	Landfill	0.000	0.700	7																								
2019	Ballarat	Organics processing operations	Fuel preparation	0.250	1.000	0																								
2019	Ballarat	Organics processing operations	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.750	3																								
2019	Ballarat	Incinerators	Landfill	0.000	0.800	8																								
2019	Ballarat	Construction and demolition recycling operations	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.250	0.750	5																								
2019	Ballarat	Construction and demolition recycling operations	Road base	0.250	0.750	2																								
2019	Ballarat	Fuel preparation	Cement kilns and other energy recovery	0.100	0.900	0																								
2019	Ballarat	Fuel preparation	Export	0.100	0.750	2																								
2019	Ballarat	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Export	0.000	0.900	3																								
2019	Ballarat	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Onshore remanufacturing of paper, metal, glass, plastic, rubber, oil etc.	0.000	1.000	0																								
2019	Ballarat	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Road base	0.000	0.750	1																								
2019	Central Goldfields	Municipal solid waste	Landfill	0.013	0.150	1																								
2019	Central Goldfields	Municipal solid waste	Litter and illegal dumping	0.100	0.250	0																								
2019	Central Goldfields	Municipal solid waste	Alternative waste technologies	0.400	0.750	0																								
2019	Central Goldfields	Municipal solid waste	Materials recovery facilities	0.500	0.900	0																								
2019	Central Goldfields	Municipal solid waste	Container deposit systems and other drop off	0.475	1.000	0																								
2019	Central Goldfields	Municipal solid waste	Hazardous waste treatment facilities	0.200	0.650	0																								
2019	Central Goldfields	Municipal solid waste	Organics processing operations	0.175	0.700	2																								
2019	Central Goldfields	Commercial and industrial waste	Landfill	0.013	0.160	2																								
2019	Central Goldfields	Commercial and industrial waste	Alternative waste technologies	0.300	1.000	0																								
2019	Central Goldfields	Commercial and industrial waste	Materials recovery facilities	0.225	0.500	0																								
2019	Central Goldfields	Commercial and industrial waste	Container deposit systems and other drop off	0.400	0.950	0																								
2019	Central Goldfields	Commercial and industrial waste	Hazardous waste treatment facilities	0.550	0.950	0																								
2019	Central Goldfields	Commercial and industrial waste	Incinerators	0.500	0.900	0																								
2019	Central Goldfields	Commercial and industrial waste	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.450	2																								
2019	Central Goldfields	Commercial and industrial waste	Organics processing operations	0.250	0.650	3																								
2019	Central Goldfields	Commercial and industrial waste	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.075	0.350	4																								
2019	Central Goldfields	Construction and demolition waste	Landfill	0.013	0.170	3																								
2019	Central Goldfields	Construction and demolition waste	Litter and illegal dumping	0.025	0.250	0																								
2019	Central Goldfields	Construction and demolition waste	Organics processing operations	0.250	0.750	4																								
2019	Central Goldfields	Construction and demolition waste	Construction and demolition recycling operations	0.250	0.750	0																								
2019	Central Goldfields	Alternative waste technologies	Landfill	0.000	0.250	4																								
2019	Central Goldfields	Alternative waste technologies	Fuel preparation	0.550	1.000	0																								
2019	Central Goldfields	Alternative waste technologies	Alternative waste technologies	0.200	0.750	1																								
2019	Central Goldfields	Alternative waste technologies	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.800	2																								
2019	Central Goldfields	Container deposit systems and other drop off	Fuel preparation	0.250	1.000	0																								
2019	Central Goldfields	Container deposit systems and other drop off	Organics processing operations	0.100	0.900	1																								
2019	Central Goldfields	Container deposit systems and other drop off	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.013	0.450	3																								
2019	Central Goldfields	Materials recovery facilities	Landfill	0.000	0.350	5																								
2019	Central Goldfields	Materials recovery facilities	Export	0.600	0.950	1																								
2019	Central Goldfields	Materials recovery facilities	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.750	1																								
2019	Central Goldfields	Hazardous waste treatment facilities	Landfill	0.000	0.500	6																								
2019	Central Goldfields	Hazardous waste treatment facilities	Fuel preparation	0.000	1.000	0																								
2019	Central Goldfields	Organics processing operations	Landfill	0.000	0.700	7																								
2019	Central Goldfields	Organics processing operations	Fuel preparation	0.250	1.000	0																								
2019	Central Goldfields	Organics processing operations	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.750	3																								
2019	Central Goldfields	Incinerators	Landfill	0.000	0.800	8																								
2019	Central Goldfields	Construction and demolition recycling operations	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.250	0.750	5																								
2019	Central Goldfields	Construction and demolition recycling operations	Road base	0.250	0.750	2																								
2019	Central Goldfields	Fuel preparation	Cement kilns and other energy recovery	0.100	0.900	0																								
2019	Central Goldfields	Fuel preparation	Export	0.100	0.750	2																								
2019	Central Goldfields	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Export	0.000	0.900	3																								
2019	Central Goldfields	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Onshore remanufacturing of paper, metal, glass, plastic, rubber, oil etc.	0.000	1.000	0																								
2019	Central Goldfields	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Road base	0.000	0.750	1																								
2019	Golden Plains	Municipal solid waste	Landfill	0.013	0.150	1																								
2019	Golden Plains	Municipal solid waste	Litter and illegal dumping	0.100	0.250	0																								
2019	Golden Plains	Municipal solid waste	Alternative waste technologies	0.400	0.750	0																								
2019	Golden Plains	Municipal solid waste	Materials recovery facilities	0.500	0.900	0																								
2019	Golden Plains	Municipal solid waste	Container deposit systems and other drop off	0.475	1.000	0																								
2019	Golden Plains	Municipal solid waste	Hazardous waste treatment facilities	0.200	0.650	0																								
2019	Golden Plains	Municipal solid waste	Organics processing operations	0.175	0.700	2																								
2019	Golden Plains	Commercial and industrial waste	Landfill	0.013	0.160	2																								
2019	Golden Plains	Commercial and industrial waste	Alternative waste technologies	0.300	1.000	0																								
2019	Golden Plains	Commercial and industrial waste	Materials recovery facilities	0.225	0.500	0																								
2019	Golden Plains	Commercial and industrial waste	Container deposit systems and other drop off	0.400	0.950	0																								
2019	Golden Plains	Commercial and industrial waste	Hazardous waste treatment facilities	0.550	0.950	0																								
2019	Golden Plains	Commercial and industrial waste	Incinerators	0.500	0.900	0																								
2019	Golden Plains	Commercial and industrial waste	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.450	2																								
2019	Golden Plains	Commercial and industrial waste	Organics processing operations	0.250	0.650	3																								
2019	Golden Plains	Commercial and industrial waste	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.075	0.350	4																								
2019	Golden Plains	Construction and demolition waste	Landfill	0.013	0.170	3																								
2019	Golden Plains	Construction and demolition waste	Litter and illegal dumping	0.025	0.250	0																								
2019	Golden Plains	Construction and demolition waste	Organics processing operations	0.250	0.750	4																								
2019	Golden Plains	Construction and demolition waste	Construction and demolition recycling operations	0.250	0.750	0																								
2019	Golden Plains	Alternative waste technologies	Landfill	0.000	0.250	4																								
2019	Golden Plains	Alternative waste technologies	Fuel preparation	0.550	1.000	0																								
2019	Golden Plains	Alternative waste technologies	Alternative waste technologies	0.200	0.750	1																								
2019	Golden Plains	Alternative waste technologies	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.800	2																								
2019	Golden Plains	Container deposit systems and other drop off	Fuel preparation	0.250	1.000	0																								
2019	Golden Plains	Container deposit systems and other drop off	Organics processing operations	0.100	0.900	1																								
2019	Golden Plains	Container deposit systems and other drop off	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.013	0.450	3																								
2019	Golden Plains	Materials recovery facilities	Landfill	0.000	0.350	5																								
2019	Golden Plains	Materials recovery facilities	Export	0.600	0.950	1																								
2019	Golden Plains	Materials recovery facilities	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.750	1																								
2019	Golden Plains	Hazardous waste treatment facilities	Landfill	0.000	0.500	6																								
2019	Golden Plains	Hazardous waste treatment facilities	Fuel preparation	0.000	1.000	0																								
2019	Golden Plains	Organics processing operations	Landfill	0.000	0.700	7																								
2019	Golden Plains	Organics processing operations	Fuel preparation	0.250	1.000	0																								
2019	Golden Plains	Organics processing operations	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.750	3																								
2019	Golden Plains	Incinerators	Landfill	0.000	0.800	8																								
2019	Golden Plains	Construction and demolition recycling operations	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.250	0.750	5																								
2019	Golden Plains	Construction and demolition recycling operations	Road base	0.250	0.750	2																								
2019	Golden Plains	Fuel preparation	Cement kilns and other energy recovery	0.100	0.900	0																								
2019	Golden Plains	Fuel preparation	Export	0.100	0.750	2																								
2019	Golden Plains	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Export	0.000	0.900	3																								
2019	Golden Plains	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Onshore remanufacturing of paper, metal, glass, plastic, rubber, oil etc.	0.000	1.000	0																								
2019	Golden Plains	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Road base	0.000	0.750	1																								
2019	Hepburn	Municipal solid waste	Landfill	0.013	0.150	1																								
2019	Hepburn	Municipal solid waste	Litter and illegal dumping	0.100	0.250	0																								
2019	Hepburn	Municipal solid waste	Alternative waste technologies	0.400	0.750	0																								
2019	Hepburn	Municipal solid waste	Materials recovery facilities	0.500	0.900	0																								
2019	Hepburn	Municipal solid waste	Container deposit systems and other drop off	0.475	1.000	0																								
2019	Hepburn	Municipal solid waste	Hazardous waste treatment facilities	0.200	0.650	0																								
2019	Hepburn	Municipal solid waste	Organics processing operations	0.175	0.700	2																								
2019	Hepburn	Commercial and industrial waste	Landfill	0.013	0.160	2																								
2019	Hepburn	Commercial and industrial waste	Alternative waste technologies	0.300	1.000	0																								
2019	Hepburn	Commercial and industrial waste	Materials recovery facilities	0.225	0.500	0																								
2019	Hepburn	Commercial and industrial waste	Container deposit systems and other drop off	0.400	0.950	0																								
2019	Hepburn	Commercial and industrial waste	Hazardous waste treatment facilities	0.550	0.950	0																								
2019	Hepburn	Commercial and industrial waste	Incinerators	0.500	0.900	0																								
2019	Hepburn	Commercial and industrial waste	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.450	2																								
2019	Hepburn	Commercial and industrial waste	Organics processing operations	0.250	0.650	3																								
2019	Hepburn	Commercial and industrial waste	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.075	0.350	4																								
2019	Hepburn	Construction and demolition waste	Landfill	0.013	0.170	3																								
2019	Hepburn	Construction and demolition waste	Litter and illegal dumping	0.025	0.250	0																								
2019	Hepburn	Construction and demolition waste	Organics processing operations	0.250	0.750	4																								
2019	Hepburn	Construction and demolition waste	Construction and demolition recycling operations	0.250	0.750	0																								
2019	Hepburn	Alternative waste technologies	Landfill	0.000	0.250	4																								
2019	Hepburn	Alternative waste technologies	Fuel preparation	0.550	1.000	0																								
2019	Hepburn	Alternative waste technologies	Alternative waste technologies	0.200	0.750	1																								
2019	Hepburn	Alternative waste technologies	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.800	2																								
2019	Hepburn	Container deposit systems and other drop off	Fuel preparation	0.250	1.000	0																								
2019	Hepburn	Container deposit systems and other drop off	Organics processing operations	0.100	0.900	1																								
2019	Hepburn	Container deposit systems and other drop off	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.013	0.450	3																								
2019	Hepburn	Materials recovery facilities	Landfill	0.000	0.350	5																								
2019	Hepburn	Materials recovery facilities	Export	0.600	0.950	1																								
2019	Hepburn	Materials recovery facilities	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.750	1																								
2019	Hepburn	Hazardous waste treatment facilities	Landfill	0.000	0.500	6																								
2019	Hepburn	Hazardous waste treatment facilities	Fuel preparation	0.000	1.000	0																								
2019	Hepburn	Organics processing operations	Landfill	0.000	0.700	7																								
2019	Hepburn	Organics processing operations	Fuel preparation	0.250	1.000	0																								
2019	Hepburn	Organics processing operations	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.750	3																								
2019	Hepburn	Incinerators	Landfill	0.000	0.800	8																								
2019	Hepburn	Construction and demolition recycling operations	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.250	0.750	5																								
2019	Hepburn	Construction and demolition recycling operations	Road base	0.250	0.750	2																								
2019	Hepburn	Fuel preparation	Cement kilns and other energy recovery	0.100	0.900	0																								
2019	Hepburn	Fuel preparation	Export	0.100	0.750	2																								
2019	Hepburn	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Export	0.000	0.900	3																								
2019	Hepburn	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Onshore remanufacturing of paper, metal, glass, plastic, rubber, oil etc.	0.000	1.000	0																								
2019	Hepburn	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	Road base	0.000	0.750	1																								
2019	Hindmarsh	Municipal solid waste	Landfill	0.013	0.150	1																								
2019	Hindmarsh	Municipal solid waste	Litter and illegal dumping	0.100	0.250	0																								
2019	Hindmarsh	Municipal solid waste	Alternative waste technologies	0.400	0.750	0																								
2019	Hindmarsh	Municipal solid waste	Materials recovery facilities	0.500	0.900	0																								
2019	Hindmarsh	Municipal solid waste	Container deposit systems and other drop off	0.475	1.000	0																								
2019	Hindmarsh	Municipal solid waste	Hazardous waste treatment facilities	0.200	0.650	0																								
2019	Hindmarsh	Municipal solid waste	Organics processing operations	0.175	0.700	2																								
2019	Hindmarsh	Commercial and industrial waste	Landfill	0.013	0.160	2																								
2019	Hindmarsh	Commercial and industrial waste	Alternative waste technologies	0.300	1.000	0																								
2019	Hindmarsh	Commercial and industrial waste	Materials recovery facilities	0.225	0.500	0																								
2019	Hindmarsh	Commercial and industrial waste	Container deposit systems and other drop off	0.400	0.950	0																								
2019	Hindmarsh	Commercial and industrial waste	Hazardous waste treatment facilities	0.550	0.950	0																								
2019	Hindmarsh	Commercial and industrial waste	Incinerators	0.500	0.900	0																								
2019	Hindmarsh	Commercial and industrial waste	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.450	2																								
2019	Hindmarsh	Commercial and industrial waste	Organics processing operations	0.250	0.650	3																								
2019	Hindmarsh	Commercial and industrial waste	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.075	0.350	4																								
2019	Hindmarsh	Construction and demolition waste	Landfill	0.013	0.170	3																								
2019	Hindmarsh	Construction and demolition waste	Litter and illegal dumping	0.025	0.250	0																								
2019	Hindmarsh	Construction and demolition waste	Organics processing operations	0.250	0.750	4																								
2019	Hindmarsh	Construction and demolition waste	Construction and demolition recycling operations	0.250	0.750	0																								
2019	Hindmarsh	Alternative waste technologies	Landfill	0.000	0.250	4																								
2019	Hindmarsh	Alternative waste technologies	Fuel preparation	0.550	1.000	0																								
2019	Hindmarsh	Alternative waste technologies	Alternative waste technologies	0.200	0.750	1																								
2019	Hindmarsh	Alternative waste technologies	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.800	2																								
2019	Hindmarsh	Container deposit systems and other drop off	Fuel preparation	0.250	1.000	0																								
2019	Hindmarsh	Container deposit systems and other drop off	Organics processing operations	0.100	0.900	1																								
2019	Hindmarsh	Container deposit systems and other drop off	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.013	0.450	3																								
2019	Hindmarsh	Materials recovery facilities	Landfill	0.000	0.350	5																								
2019	Hindmarsh	Materials recovery facilities	Export	0.600	0.950	1																								
2019	Hindmarsh	Materials recovery facilities	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.000	0.750	1																								
2019	Hindmarsh	Hazardous waste treatment facilities	Landfill	0.000	0.500	6																								
2019	Hindmarsh	Hazardous waste treatment facilities	Fuel preparation	0.000	1.000	0																								
2019	Hindmarsh	Organics processing operations	Landfill	0.000	0.700	7																								
2019	Hindmarsh	Organics processing operations	Fuel preparation	0.250	1.000	0																								
2019	Hindmarsh	Organics processing operations	Land rehabilitation, agriculture, soil improvement and urban development	0.250	0.750	3																								
2019	Hindmarsh	Incinerators	Landfill	0.000	0.800	8																								
2019	Hindmarsh	Construction and demolition recycling operations	Onshore processing of paper, metal, glass, plastic, rubber, oil etc.	0.250	0.750	5																								
2019	Hindmarsh	Construction and demolition recycling operations	Road base	0.250	0.750	2																								
2019	Hindmarsh	Fuel preparation	Cement kilns and other energy recovery	0.100	0.900	0																								
2019	Hindmarsh	Fuel preparation	Export	0.100	0.750	2																								
